Field	Description	Type	Options	Codes	Node	Variable	Suffix
SMRRNANM	RRNA: Number of all reads (duplicate and non-duplicate) aligning to ribosomal RNA regions	integer			read_group_QC	ribosomal_aligned_reads	
SMRDTTL	Total: Total reads (filtered to exclude reads with vendor fail or alternative alignment flags)	integer			read_group_QC	total_sequences	
SMVQCFL	Failed Vendor QC Check: reads having been designated as failed by the sequencer	integer			read_group_QC	tota_vendor_check_failed_reads	
SMMNCV	Mean coefficient of variation: standard deviation in base coverage divided by mean coverage	decimal			read_group_QC	mean_coefficient_of_variation_of_base_covarage	
SMTRSCPT	Transcripts Detected: Total number of transcripts with at least 5 exon mapping reads	integer			read_group_QC	total_transcript_detected	
SMMPPDPR	Mapped Pairs:Total number of pairs for which both ends map	integer			read_group_QC	total_mapped_pairs	
SMCGLGTH	Cumulative Gap Length: Cumulative length of gap regions	integer			read_group_QC	cumulative_gap_length	
SMGAPPCT	Gap Percentage: The total cumulative gap length divided by the total cumulative transcript lengths	decimal			read_group_QC	percent_cumulative_gap_length	
SMUNPDRD	Unpaired Reads: number of reads lacking a pair mate	integer			read_group_QC	total_reads_lacking_pair_mate	
SMNTRNRT	Intronic Rate: The fraction of reads that map within introns	decimal			read_group_QC	percent_aligned_intron	
SMMPUNRT	Mapped Unique Rate of Total: Ratio of mapping of reads that were aligned and were not duplicates to total reads	decimal			read_group_QC	percent_unique_aligned	
SMEXPEFF	Expression Profiling Efficiency: Ratio of exon reads to total reads	decimal			read_group_QC	percent_exon	
SMMPPDUN	Mapped Unique: Number of reads that were aligned and did not have duplicate flags	integer			read_group_QC	total_unique_aligned_reads	
SME2MMRT	End 2 Mismatch Rate: The number of End 2 bases not matching the reference divided by the total number of End 2 bases.	decimal			read_group_QC	percent_end2_mismatch	
SME2ANTI	End 2 Antisense: Number of reads that were sequenced in the antisense direction	integer			read_group_QC	total_end2_in_antisense	
SMALTALG	Alternative Aligments: duplicate read entries providing alternative coordinates	integer			read_group_QC	total_alternative_aligment	
SME2SNSE	End 2 Sense: Number of End 2 reads that were sequenced in the sense direction	integer			read_group_QC	total_end2_in_sense	
SMMFLGTH	Fragment Length Mean: The fragment length is the distance between the start of an upstream read and the end of the downstream pair mate	integer			read_group_QC	mean_frament_length	
SME1ANTI	End 1 Antisense: Number of End 1 reads that were sequenced in the antisense direction	integer			read_group_QC	total_end1_in_antisense	
SMSPLTRD	Split Reads: The number of reads that span an exon-exon boundary	integer			read_group_QC	total_reads_span_an_exon-exon_boundary	
SMBSMMRT	Base Mismatch Rate: Number of bases not matching the reference divided by the total number of bases aligned.	decimal			read_group_QC	percent_unaligned	
SME1SNSE	End 1 Sense: Number of End 1 reads that were sequenced in the sense direction	integer			read_group_QC	total_end1_in_sense	
SME1PCTS	End 1 % Sense: Percentage of intragenic End 1 reads that were sequenced in the sense direction	decimal			NA	NA	
SMRRNART	RRNA Rate: Ratio of all reads aligned to rRNA regions to total reads	decimal			read_group_QC	percent_rrna_aligned	
SME1MPRT	End 1 Mapping Rate: the number of End 1 mapped reads divided by the total number of End 1 reads	decimal			read_group_QC	percent_end1_aligned	
SMNUM5CD	Number Covered 5': The number of transcripts that have at least one read in their 5' end	integer			read_group_QC	total_transcript_with_5'_covered	
SMDPMPRT	Duplication Rate of Mapped: Duplicate reads divided by total mapped reads	decimal			read_group_QC	percent_duplicate_aligned	
SAMPID	Sample ID, GTEx Public Sample ID	string			sample	cases.submitter_id	_case	
SAMPID	Sample ID, GTEx Public Sample ID	string			case	studies.submitter_id		
SAMPID	Sample ID, GTEx Public Sample ID	string			read_group	aliquots.submitter_id	_aliq
SAMPID	Sample ID, GTEx Public Sample ID	string			read_group	submitter_id	_aliq_rdgp	
SAMPID	Sample ID, GTEx Public Sample ID	string			aliquot	samples.submitter_id	
SAMPID	Sample ID, GTEx Public Sample ID	string			aliquot	submitter_id	_aliq
SAMPID	Sample ID, GTEx Public Sample ID	string			read_group_QC	read_groups.submitter_id	_aliq_rdgp
SAMPID	Sample ID, GTEx Public Sample ID	string			read_group_QC	submitter_id	_aliq_rdgp_rdgpQC	
