Node	Property	Type	Enum_Values	Description	Flags
follow_up	drug_used	enum	['No', 'Yes', 'Refusal', 'Unknown']	Ever used any medical or recreational drugs since last visit	['no', 'yes', 'ever']
follow_up	ever_transferred	enum	['Never transferred', 'Transferred']	Participant ever transferred sites (changed ids)	['ever', 'never', 'ever']
gynecological_exam	trichomonas_test	enum	['positive', 'negative', 'unclear', 'not obtanied', 'not read', 'Refusal', 'Unknown']	Trichomonas wet prep test	['positive', 'negative']
gynecological_exam	increased_wbcs	enum	['positive', 'negative', 'unclear', 'not obtanied', 'not read', 'Refusal', 'Unknown']	Increased wbcs	['positive', 'negative']
gynecological_exam	clue_cells_test	enum	['positive', 'negative', 'unclear', 'not obtanied', 'not read', 'Refusal', 'Unknown']	Clue cells wet prep test	['positive', 'negative']
gynecological_exam	amine_odor_koh_test	enum	['positive', 'negative', 'unclear', 'not obtanied', 'not read', 'Refusal', 'Unknown']	Amine odor KOH mount test	['positive', 'negative']
gynecological_exam	yeast_koh_test	enum	['positive', 'negative', 'unclear', 'not obtanied', 'not read', 'Refusal', 'Unknown']	Yeast KOH mount test	['positive', 'negative']
health_questionnaire	hltba	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for bathing or dressing.	['yes', 'yes']
health_questionnaire	hltbe	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for bending, kneeling or stooping.	['yes', 'yes']
health_questionnaire	hltst	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for climbing several flights of stairs.	['yes', 'yes', 'ever']
health_questionnaire	hltva	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for vigorous activities such as running, lifting heavy objects, participating in strenuous sports..	['yes', 'yes']
health_questionnaire	hltli	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for lifting or carrying groceries.	['yes', 'yes']
health_questionnaire	hlts1	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for climbing one flight of stairs.	['yes', 'yes']
health_questionnaire	hltw1	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for walking one block.	['yes', 'yes']
health_questionnaire	bodpn	enum	['None', 'Very mild', 'Mild', 'Moderate', 'Severe', 'Very severe']	Amount of bodily pain during the past four weeks.	['ever', 'ever']
health_questionnaire	hltma	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for moderate activities such as moving a table, pushing a vacuum cleaner, bowling or playing golf..	['yes', 'yes']
health_questionnaire	hltwm	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for walking more than one mile.	['yes', 'yes']
health_questionnaire	hltwb	enum	['Yes a lot', 'Yes a little', 'No at all']	Health limitation for walking several blocks.	['yes', 'yes', 'ever']
hiv_history	status	enum	['Negative', 'Prevalent', 'Converter', 'Converter identified at death']	Summarized HIV sero-status	['negative']
hiv_history	bshbvstat	enum	['HBV negative', 'HBV positive', 'missing/unknown']	Baseline HBV serostatus (based on 1st 3 visits)	['negative', 'positive']
hiv_history	bshcvstat	enum	['HCV negative', 'HCV positive', 'missing/unknown']	Baseline HCV serostatus (based on 1st 3 visits)	['negative', 'positive']
imaging_report	lung_capacity_decrease	enum	['Yes', 'No', 'Not Reported', 'No, Yes']	reduced lung volumes	['yes', 'no', 'yes']
imaging_report	post_tb_residuals	enum	['Yes', 'No', 'Not Reported', 'No, Yes']	Post-tuberculosis changes in the lung	['yes', 'no', 'yes']
imaging_report	bronchial_obstruction	enum	['Yes', 'No', 'Not Reported', 'No, Yes']	bronchial obstruction syndrome disorders	['yes', 'no', 'yes']
imaging_report	pulmonaryartery_thromboembolism	enum	['Yes', 'No', 'Not Reported']	Thromboembolism Of The Pulmonary Artery detected (yes or no)	['yes', 'no', 'yes']
imaging_report	accumulation_of_contrast	enum	['No', 'less10-13', 'more30']	More than 30HU of contrast accumulated, less than 10-30HU of contrast accumulated, or no constrast accumulated	['no']
mental_health_questionnaire	worth_feeling	enum	['Always true', 'Often true', 'Sometimes true', 'Rarely true', 'Never true']	Feeling about being a person of worth, at least as much as others	['ever', 'never']
mental_health_questionnaire	freq_fresh_rested	enum	['None', 'Rarely', 'Less than half the time', 'Fairly often', 'Mostly every data', 'Every day']	Frequency waking up fresh and rested during the past month	['ever', 'ever']
mental_health_questionnaire	freq_effort	enum	['Rarely', 'Some', 'Occasionally', 'Most']	Frequency everything effort.	['ever']
neurocognitive_test	left_vibration_perception	enum	['No', 'Yes (normal)', 'Yes (mild loss)', 'Yes (moderate loss)', 'Unable to evaluate', 'Refused']	Perception of vibration in great toe (left side) using a 128 Hz tuning fork	['no', 'yes', 'yes', 'yes']
neurocognitive_test	left_ankle_reflexes	enum	['No', 'Yes', 'Unable to evaluate', 'Refused']	Deep tendon reflexes at left ankle	['no', 'yes']
neurocognitive_test	right_ankle_reflexes	enum	['No', 'Yes', 'Unable to evaluate', 'Refused']	Deep tendon reflexes at right ankle	['no', 'yes']
neurocognitive_test	right_vibration_perception	enum	['No', 'Yes (normal)', 'Yes (mild loss)', 'Yes (moderate loss)', 'Unable to evaluate', 'Refused']	Perception of vibration at great toe (right side) using a 128 Hz tuning fork	['no', 'yes', 'yes', 'yes']
sample	diagnosis_pathologically_confirmed	enum	['Yes', 'No', 'Unknown']	The histologic description of tissue or cells confirmed by a pathology review of frozen or formalin fixed slide(s) completed after the diagnostic pathology review of the tumor sample used to extract analyte(s).	['yes', 'no']
summary_drug_use	etvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Intelence (etravirine, TMC-125) (255) at visit	['no', 'yes']
summary_drug_use	itf	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used interferon (90) since last visit	['no', 'yes']
summary_drug_use	elvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used elvitegravir  (284) at visit (added at visit 37)	['no', 'yes']
summary_drug_use	acvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Acyclovir (146) at visit	['no', 'yes']
summary_drug_use	rtv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ritonavir (211) since last visit	['no', 'yes']
summary_drug_use	itz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Itraconazole (169) since last visit	['no', 'yes']
summary_drug_use	vczv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Vfend (Voriconazole) (247) at visit	['no', 'yes']
summary_drug_use	neuv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used neupogen (157) at visit	['no', 'yes']
summary_drug_use	ftcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used FTC Emtriva (239) at visit	['no', 'yes']
summary_drug_use	cipv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ciprofloxacin (CIPRO) (153) at visit	['no', 'yes']
summary_drug_use	tpvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Tipranavir(Aptivus) (238) at visit	['no', 'yes']
summary_drug_use	epzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Epzicom (ABC/LAM) (254) at visit	['no', 'yes']
summary_drug_use	hxuv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Hydroxyurea (207) at visit	['no', 'yes']
summary_drug_use	enfv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fuzeon T20 (233) at visit	['no', 'yes']
summary_drug_use	fpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fosamprenavir (249) since last visit	['no', 'yes']
summary_drug_use	efvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Sustiva (220) at visit	['no', 'yes']
summary_drug_use	lamv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Lamivudine (3TC) (204) at visit	['no', 'yes']
summary_drug_use	cip	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ciprofloxacin (CIPRO) (153) since last visit	['no', 'yes']
summary_drug_use	elv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used elvitegravir  (284) since last visit (added at visit 37)	['no', 'yes']
summary_drug_use	rtvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ritonavir (211) at visit	['no', 'yes']
summary_drug_use	istv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Isentress (raltegravir, MK-0518) (264) at visit	['no', 'yes']
summary_drug_use	nvp	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nevirapine (191) since last visit	['no', 'yes']
summary_drug_use	apv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Amprenavir (219) since last visit	['no', 'yes']
summary_drug_use	mpl	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used methyl-prednisolone (705) since last visit	['no', 'yes']
summary_drug_use	amb	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Amphoceterin B (124) since last visit	['no', 'yes']
summary_drug_use	lpvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Lopinavir (217) at visit	['no', 'yes']
summary_drug_use	aztv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used AZT (92) at visit	['no', 'yes']
summary_drug_use	ddc	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used ddC (94) since last visit	['no', 'yes']
summary_drug_use	mon	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Monistat (229) since last visit	['no', 'yes']
summary_drug_use	cprv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used complera (280) at visit (added at visit 34)	['no', 'yes']
summary_drug_use	pegv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used  pegasys (242) at visit	['no', 'yes']
summary_drug_use	evov	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Evotaz  (296) at visit (added at visit 40)	['no', 'yes']
summary_drug_use	neu	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used neupogen (157) since last visit	['no', 'yes']
summary_drug_use	dps	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Dapsone (113) since last visit	['no', 'yes']
summary_drug_use	slz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Selzentry (maraviroc) (265) since last visit	['no', 'yes']
summary_drug_use	evo	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Evotaz  (296) since last visit (added at visit 40)	['no', 'yes']
summary_drug_use	atpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atripla(EFV/TDF/FTC) (262) at visit	['no', 'yes']
summary_drug_use	gcvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ganciclovir (DHPG) (125) at visit	['no', 'yes']
summary_drug_use	mepv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atovaquone (190) at visit	['no', 'yes']
summary_drug_use	nfv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nelfinavir (216) since last visit	['no', 'yes']
summary_drug_use	trz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Terazol (230) since last visit	['no', 'yes']
summary_drug_use	itzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Itraconazole (169) at visit	['no', 'yes']
summary_drug_use	clav	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Clarithromycin (Biaxin) (184) at visit	['no', 'yes']
summary_drug_use	d4t	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used d4T (159) since last visit	['no', 'yes']
summary_drug_use	tru	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Truvada (TDF/FTC) (253) since last visit	['no', 'yes']
summary_drug_use	rpvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used rilpivirine (276) at visit (added at visit 34)	['no', 'yes']
summary_drug_use	tafv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used alafenamide tenofovir (305) at visit (added at visit 44)	['no', 'yes']
summary_drug_use	ddcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used ddC (94) at visit	['no', 'yes']
summary_drug_use	dpsv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Dapsone (113) at visit	['no', 'yes']
summary_drug_use	mcxv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Mycelex (145) at visit	['no', 'yes']
summary_drug_use	itfv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used interferon (90) at visit	['no', 'yes']
summary_drug_use	horv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used hormones (507) at visit	['no', 'yes']
summary_drug_use	sqvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Saquinavir (210) at visit	['no', 'yes']
summary_drug_use	odf	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used odefsey  (306) since last visit (added at visit 44)	['no', 'yes']
summary_drug_use	apvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Amprenavir (219) at visit	['no', 'yes']
summary_drug_use	tmp	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Bactrim (112) since last visit	['no', 'yes']
summary_drug_use	tumv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Triumeq  (293) at visit (added at visit 40)	['no', 'yes']
summary_drug_use	cobv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used cobicistat (283) at visit (added at visit 37)	['no', 'yes']
summary_drug_use	abc	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Abacavir (218) since last visit	['no', 'yes']
summary_drug_use	d4tv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used d4T (159) at visit	['no', 'yes']
summary_drug_use	ambv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Amphoceterin B (124) at visit	['no', 'yes']
summary_drug_use	slzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Selzentry (maraviroc) (265) at visit	['no', 'yes']
summary_drug_use	ftc	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used FTC Emtriva(239) since last visit	['no', 'yes']
summary_drug_use	dlv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Delavirdine (194) since last visit	['no', 'yes']
summary_drug_use	ecft	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used genvoya  (290) since last visit (added at visit 44)	['no', 'yes']
summary_drug_use	reb	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used rebetron(235) since last visit	['no', 'yes']
summary_drug_use	vcz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Vfend (Voriconazole) (247) since last visit	['no', 'yes']
summary_drug_use	peg	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used pegasys (242) since last visit	['no', 'yes']
summary_drug_use	nanv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used nandralone (232) at visit	['no', 'yes']
summary_drug_use	rfmv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Rifampin (Rifidin) (139) at visit	['no', 'yes']
summary_drug_use	ddiv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used ddI (147) at visit	['no', 'yes']
summary_drug_use	sbdv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Stribild (287) at visit	['no', 'yes']
summary_drug_use	tdf	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Tenofovir (234) since last visit	['no', 'yes']
summary_drug_use	atzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atazanavir (243) at visit	['no', 'yes']
summary_drug_use	aziv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Azithromycin (zithromax) (152) at visit	['no', 'yes']
summary_drug_use	mep	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atovaquone (190) since last visit	['no', 'yes']
summary_drug_use	sbd	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Stribild (287) since last visit	['no', 'yes']
summary_drug_use	dcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used descovy  (308) since last visit (added at visit 44)	['no', 'yes']
summary_drug_use	epov	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used epogen (117) at visit	['no', 'yes']
summary_drug_use	tmpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Bactrim (112) at visit	['no', 'yes']
summary_drug_use	isz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Isoniazid (138) since last visit	['no', 'yes']
summary_drug_use	tpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Tipranavir(Aptivus) (238) since last visit	['no', 'yes']
summary_drug_use	etv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Intelence (etravirine, TMC-125) (255) since last visit	['no', 'yes']
summary_drug_use	ecftv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used genvoya  (290) at visit (added at visit 44)	['no', 'yes']
summary_drug_use	idv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Indinavir (212) since last visit	['no', 'yes']
summary_drug_use	ist	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Isentress (raltegravir, MK-0518) (264) since last visit	['no', 'yes']
summary_drug_use	monv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Monistat (229) at visit	['no', 'yes']
summary_drug_use	cob	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used cobicistat (283) since last visit (added at visit 37)	['no', 'yes']
summary_drug_use	rfm	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Rifampin (Rifidin) (138) since last visit	['no', 'yes']
summary_drug_use	atp	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atripla(EFV/TDF/FTC) (262) since last visit	['no', 'yes']
summary_drug_use	cbvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Combivir (AZT/3TC) (227) at visit (no summ)	['no', 'yes']
summary_drug_use	eth	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ethambutol (137) since last visit	['no', 'yes']
summary_drug_use	atz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Atazanavir (243) since last visit	['no', 'yes']
summary_drug_use	fcvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Famcyclovir (213) at visit	['no', 'yes']
summary_drug_use	tum	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Triumeq  (293) since last visit (added at visit 40)	['no', 'yes']
summary_drug_use	rpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used rilpivirine (276) since last visit (added at visit 34)	['no', 'yes']
summary_drug_use	nysv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nystatin (144) at visit	['no', 'yes']
summary_drug_use	cla	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Clarithromycin (Biaxin) (184) since last visit	['no', 'yes']
summary_drug_use	dgtv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used dolutegravir  (286) at visit (added at visit 39)	['no', 'yes']
summary_drug_use	rebv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used rebetron(235) at visit	['no', 'yes']
summary_drug_use	apn	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used aerosolized Pentamidine (114) since last visit	['no', 'yes']
summary_drug_use	ktzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ketocanazole (127) at visit	['no', 'yes']
summary_drug_use	trzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Terazol (230) at visit	['no', 'yes']
summary_drug_use	dcvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used descovy  (308) at visit (added at visit 44)	['no', 'yes']
summary_drug_use	vcvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Valcyclovir (198) at visit	['no', 'yes']
summary_drug_use	vcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Valcyclovir (198) since last visit	['no', 'yes']
summary_drug_use	flzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fluconazole (116) at visit	['no', 'yes']
summary_drug_use	sqv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Saquinavir (210) since last visit	['no', 'yes']
summary_drug_use	truv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Truvada (TDF/FTC) (253) at visit	['no', 'yes']
summary_drug_use	rifv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Rifabutin (Mycobutin) (93) at visit	['no', 'yes']
summary_drug_use	iszv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Isoniazid (138) at visit	['no', 'yes']
summary_drug_use	mcx	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Mycelex (145) since last visit	['no', 'yes']
summary_drug_use	ethv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ethambutol (137) at visit	['no', 'yes']
summary_drug_use	azi	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Azithromycin (zithromax) (152) since last visit	['no', 'yes']
summary_drug_use	fpvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fosamprenavir (249) at visit	['no', 'yes']
summary_drug_use	flz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fluconazole (116) since last visit	['no', 'yes']
summary_drug_use	odfv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used odefsey  (306) at visit (added at visit 44)	['no', 'yes']
summary_drug_use	ktz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ketocanazole (127) since last visit	['no', 'yes']
summary_drug_use	mplv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used methyl-prednisolone (705) at visit	['no', 'yes']
summary_drug_use	abcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Abacavir (218) at visit	['no', 'yes']
summary_drug_use	prdv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used prednisone (704) at visit	['no', 'yes']
summary_drug_use	apnv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used aerosolized Pentamidine (114) at visit	['no', 'yes']
summary_drug_use	azt	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used AZT (92) since last visit	['no', 'yes']
summary_drug_use	prd	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used prednisone (704) since last visit	['no', 'yes']
summary_drug_use	tzv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Trizivir (AZT/3TC/ABC) (240) since last visit	['no', 'yes']
summary_drug_use	tdfv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Tenofovir (234) at visit	['no', 'yes']
summary_drug_use	taf	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used alafenamide tenofovir (305) since last visit (added at visit 44)	['no', 'yes']
summary_drug_use	cbv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Combivir (AZT/3TC) (227) since last visit (no summ)	['no', 'yes']
summary_drug_use	ddi	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used ddI (147) since last visit	['no', 'yes']
summary_drug_use	rif	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Rifabutin (Mycobutin) (93) since last visit	['no', 'yes']
summary_drug_use	drv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Darunavir(TMC-114) (256) since last visit	['no', 'yes']
summary_drug_use	nfvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nelfinavir (216) at visit	['no', 'yes']
summary_drug_use	enf	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Fuzeon T20 (233) since last visit	['no', 'yes']
summary_drug_use	nys	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nystatin (144) since last visit	['no', 'yes']
summary_drug_use	nan	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used nandralone (232) since last visit	['no', 'yes']
summary_drug_use	efv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Sustiva (220) since last visit	['no', 'yes']
summary_drug_use	lam	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Lamivudine (3TC) (204) since last visit	['no', 'yes']
summary_drug_use	pdl	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used prednisolone (707) since last visit	['no', 'yes']
summary_drug_use	hor	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used  hormones (507) since last visit	['no', 'yes']
summary_drug_use	drvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Darunavir(TMC-114) (256) at visit	['no', 'yes']
summary_drug_use	gcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Ganciclovir (DHPG) (125) since last visit	['no', 'yes']
summary_drug_use	prz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Prezcobix  (295) since last visit (added at visit 40)	['no', 'yes']
summary_drug_use	nvpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Nevirapine (191) at visit	['no', 'yes']
summary_drug_use	acv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Acyclovir (146) since last visit	['no', 'yes']
summary_drug_use	pyz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Pyrazinamide (182) since last visit	['no', 'yes']
summary_drug_use	fcv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Famcyclovir (213) since last visit	['no', 'yes']
summary_drug_use	hxu	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Hydroxyurea (207) since last visit	['no', 'yes']
summary_drug_use	pdlv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used prednisolone (707) at visit	['no', 'yes']
summary_drug_use	dlvv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Delavirdine (194) at visit	['no', 'yes']
summary_drug_use	fscv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Foscarnet (91) at visit	['no', 'yes']
summary_drug_use	dgt	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used dolutegravir  (286) since last visit (added at visit 39)	['no', 'yes']
summary_drug_use	cpr	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used complera (280) since last visit (added at visit 34)	['no', 'yes']
summary_drug_use	fsc	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Foscarnet (91) since last visit	['no', 'yes']
summary_drug_use	przv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Prezcobix  (295) at visit (added at visit 40)	['no', 'yes']
summary_drug_use	lpv	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Lopinavir (217) since last visit	['no', 'yes']
summary_drug_use	epz	enum	['No', 'Yes', 'Uncertain', 'Missing']	Used Epzicom (ABC/LAM) (254) since last visit	['no', 'yes']
