Field	Description	Type	Options	Codes	Node	Variable	suffix
MHCVD	Cerebrovascular Disease (stroke, TIA, embolism, aneurysm, other circulatory disorder affecting the brain)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	cerebrovascular_disease_history	
MHDLYSIS	Dialysis Treatment	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	treated_dialysis	
MHDMNTIA	Dementia With Unknown Cause	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	dementia_history	
MHDPRSSN	Major depression (unipolar depression, major depressive disorder)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	depression_history	
MHDTND72H	In Detention Center 72h	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	correctional_center_history	
MHENCEPHA	Active Encephalitis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	active_encephalitis_at_death	
MHEURO5	In Europe 5y Since 1980	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	five_years_lived_europe	
MHFLU	Influenza (acute viral infection including avian influenza)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	influenza_at_death	
MHFNGINF	Fungal Infections	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	fugal_infection_at_death	
MHFVRU	High Unexplained Fever	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	high_fever_at_death	
MHGENCMT	General Comments	string			NA	NA	
MHGNRR12M	Gonorrhea Infection In 12m	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	gonorrhea_at_death	
MHHEPBCT	Hepatitis B	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	hepatitis_b_contact	
MHHEPCCT	Hepatitis C	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	hepatitis_c_contact	
MHHEROIN	Heroin Use	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	used_heroine	
MHHGH	Received Human Growth Hormone	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	received_growth_hormones	
MHHIVCT	HIV	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	hiv_physical_contact	
MHHIVNT	Not Able To Be Tested For HIV	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	tested_hiv	
MHHMPHLIA	Hemophilia (Information)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	hemophilia_history	
MHHMPHLIAB	Hemophilia (Potential Exposure: Sexual Activity)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	NA	NA	
MHHRTATT	Heart attack, acute myocardial infarction, acute coronary syndrome	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	heart_attack_history	
MHHRTDIS	Ischemic Heart Disease (coronary artery disease (CAD), coronary heart disease, ischemic cardiomyopathy)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	ischemic_heart_history	
MHHRTDISB	Heart Disease	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	heart_disease_history	
MHHTN	Hypertension	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	hypertension_history	
MHINFLNE	Infected Lines	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	infected_lines_at_death	
MHIVDRG5	Intravenous Drug Abuse In 5y	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	five_years_intravenous_drug	
MHJAKOB	Creutzfeldt Jakob Relatives	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	creutzfeldt_jakob_history	
MHLAPTHU	Unexplained Lymphadenopathy	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	lymphadenopathy_history	
MHLUPUS	Systemic Lupus	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	systemic_lupus_history	
MHLVRDIS	Liver Disease (liver abscess, failure, fatty liver syndrome, inherited liver insufficiency, acute/chronic hepatic insufficiency, necrobacillosis, rupture)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	liver_disease_history	
MHMENINA	Active Meningitis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	active_meningitis_at_death	
MHMS	Multiple Sclerosis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	multiple_sclerosis	
MHMSXWMA	Men Sex With Men (Information)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	homosexual_male	
MHMSXWMB	Men Sex With Men (Potential Exposure: Sexual Activity)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	NA	NA	
MHNEPH	Nephritis, Nephrotic Syndrome and/or Nephrosis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	kidney_inflammation_history	
MHNGHTSWT	Night Sweats	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	night_sweats_history	
MHNPHYS4W	No Physical Activity 4 Weeks	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	no_physical_activity_at_death	
MHNRTHEUR	Resided On Northern European Military Base	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	resided_northern_european_military_base	
MHOPNWND	Open Wounds	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	open_wounds_at_death	
MHOPPINF	Opportunistic Infections	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	opportunistic_infections_history	
MHORGNTP	Received Tissue Organ Transplant	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	received_transplant	
MHOSTMYLTS	Osteomyelitis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	osteomyelitis_history	
MHPLLABS	Prescription Pill Abuse	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	abused_prescription_pill	
MHPNMIAB	Pneumonia	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	pneumonia_at_death	
MHPNMNIA	Pneumonia (acute respiratory infection affecting the lungs)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	pneumonia_history	
MHPRCNP	Non Professional Piercing	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	used_piercing	
MHPRKNSN	Parkinson's Disease	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	parkinson_history	
MHPSBLDCLT	Positive Blood Cultures	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	positive_blood_at_death	
MHRA	Rheumatoid Arthritis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	rheumatoid_arthritis_history	
MHRBSANML	Bite From Animal With Rabies	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	bitten_rabid_animal	
MHREYES	Reyes Syndrome	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	reyes_syndrome_history	
MHRNLFLR	Renal Failure	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	renal_failure_history	
MHSARS	Diagnosis Of SARS	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	sars_diagnosed_or_contact	
MHSCHZ	Schizophrenia	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	schizophrenia_history	
MHSCLRDRM	Scleroderma	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	scleroderma_history	
MHSDRGABS	Signs Of Drug Abuse	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	drug_abuse_signs	
MHSEPSIS	Documented Sepsis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	sepsis_at_death	
MHSKNSPT	Spots On Skin	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	skin_spots_history	
MHSMLPXCT	Contact With Smallpox	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	smallpox_contact	
MHSMLPXVC	Recent Smallpox Vac	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	smallpox_vaccination	
MHSRC	Primary History Source	string			primary_history	primary_history_source	
MHSRCDSS	Sarcoidosis	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	sarcoidosis_history	
MHSRGHM	Resident Of State Run Group Home	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	state_run_resident_at_death	
MHSTD	Sexually Transmitted Diseases	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	sexually_transmitted_disease_history	
MHSTRDLT	Long Term Steroid Use	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	used_long_term_steroid	
MHSUBABSA	Drugs For Non Medical Use In 5y (Information)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	non_medical_drug_injection_history	
MHSUBABSB	Drugs For Non Medical Use In 5y (Potential Exposure: Sexual Activity)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	NA	NA	
MHSXMDA	Sex For Money Or Drugs (Information)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	paid_sexual_acts	
MHSXMDB	Sex For Money Or Drugs (Potential Exposure: Sexual Activity)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	NA	NA	
MHSYPH12M	Syphilis Infection In 12m	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	syphilis_at_death	
MHSZRSU	Unexplained Seizures	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	seizures_history	
MHT1D	Diabetes mellitus type 1 (IDDM, formerly juvenile diabetes)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	diabetes_i_history	
MHT2D	Diabetes mellitus type II (NIDDM, adult onset diabetes)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	diabetes_ii_history	
MHTBHX	TB History	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	tuberculosis_history	
MHTEMPU	Unexplained Temperature	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	unexplained_temperature_history	
MHTTCMT	Tissue Transplant Comments	string			primary_history	transplant_reason	
MHTTOO12M	Tattoos Done In 12m	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	had_professional_tattoos	
MHTTOONP	Non Professional Tattoos	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	had_non_professional_tattoos	
MHTXCEXP	Exposure To Toxics	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	toxic_substances_exposure	
MHUK8096	In Uk 3m 1980 1996	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	three_months_uk_presence	
MHUREMIA	Uremia (Kidney Disorder)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	uremia_history	
MHWKNSSU	Unexplained Weakness	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	weakness_history	
MHWNVCT	History Of Contact With WNV	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	wnv_contact	
MHWNVHX	History Of WNV	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	wnv_history	
MHWTLSUA	Unexplained Weight Loss (Information)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	primary_history	unexplained_weight_loss	
MHWTLSUB	Unexplained Weight Loss (Evidence of HIV)	enum	No|Yes|Not Reported|Unknown	0|1|98|99	NA	NA	
SUBJID	Subject ID, GTEx Public Donor ID	string			demographic	subjects.submitter_id	
SUBJID	Subject ID, GTEx Public Donor ID	string			exposure	subjects.submitter_id	
SUBJID	Subject ID, GTEx Public Donor ID	string			body_storage	subjects.submitter_id	
SUBJID	Subject ID, GTEx Public Donor ID	string			death_information	subjects.submitter_id	
SUBJID	Subject ID, GTEx Public Donor ID	string			death_record	subjects.submitter_id	
SUBJID	Subject ID, GTEx Public Donor ID	string			serology	subjects.submitter_id	
SUBJID	Subject ID, GTEx Public Donor ID	string			primary_history	subjects.submitter_id	
SUBJID	Subject ID, GTEx Public Donor ID	string			demographic	submitter_id	_demo
SUBJID	Subject ID, GTEx Public Donor ID	string			exposure	submitter_id	_expo
SUBJID	Subject ID, GTEx Public Donor ID	string			body_storage	submitter_id	_storage
SUBJID	Subject ID, GTEx Public Donor ID	string			death_information	submitter_id	_deinfo
SUBJID	Subject ID, GTEx Public Donor ID	string			death_record	submitter_id	_derecord
SUBJID	Subject ID, GTEx Public Donor ID	string			serology	submitter_id	_sero
SUBJID	Subject ID, GTEx Public Donor ID	string			primary_history	submitter_id	_prihis
